Artist,Title,Medium,Year_acquisition,Medium_classified
,La hora de los hornos. 1º Parte: Neocolonialismo y violencia (The Hour of the Furnaces. Part #1: Neocolonialism and Violence),Film,,video art
,Des armes pour l’Espagne antifasciste (Weapons for Anti-Fascist Spain),Graphic art,2012,graphics
,La torre de los siete jorobados (The Tower of the Seven Hunchbacks),Film,,video art
,Sans titre (Paris: boulevard de la Gare) (Untitled [Paris: boulevard de la Gare]),Painting,2015,painting
,Agrafage (Stapling),Painting,2015,painting
,Principle of Detachment: New York Reading,Sculpture,2011,sculpture
APA (Feliu Elias i Bracons),Concours Préparatoires... Exposition Internationale de la Technique du Bâtiment... Parc de Montjuich (Preparatory Competitions… The International Exhibition of Construction Technology... Montjuic Park),Graphic art,2019,graphics
Antoni Abad,Sísifo (Sisyphus),"Installation, Video",1998,video art
Francesc Abad,Accions. Treball sobre els quatre elements 1 (Actions. Work on the Four Elements 1),"Video, Action",2009,video art
Francesc Abad,Accions. Treball sobre els quatre elements 2 (Actions. Work on the Four Elements 2),"Video, Action",2009,video art
Francesc Abad,"Aire. Acción, cuadrado en el suelo con hojas y destrucción de ese cuadrado por la acción del viento (Air. Action, Square on the Ground with Leaves and Destruction of the Square Due to the Action of the Wind)","Photography, Action",2009,photography
Francesc Abad,Procés transformació (Transformation Process),Photography,2009,photography
Francesc Abad,"Peça-forma. Tint-1, Banyoles (Piece-Form. Tint-1, Banyoles)","Video, Action",2009,video art
Francesc Abad,Peça-acció 1. Institut industrial de Terrassa (Piece-Action 1. Industrial Institute of Terrassa),"Video, Action",2009,video art
Francesc Abad,Peça-acció 2. Institut industrial de Terrassa (Piece-Action 2. Industrial Institute of Terrassa),"Video, Action",2009,video art
Francesc Abad,Terrassa. Informació d'Art (Terrassa. Information of Art),"Video, Action",2009,video art
Francesc Abad,Medició circular (Roundness Measuring),"Video, Action",2009,video art
Francesc Abad,Homenatge a l'home del carrer (Homage to the Man in the Street),"Installation, Photography",2012,installation
Magdalena Abakanowicz,Thirty Backwards Standing Figures,"Sculpture, Installation",1997,sculpture
Ignasi Aballí,Mirades (Gazes),Installation,2016,installation
Ignasi Aballí,Biblioteca II (Library II),Photography,2002,photography
Ignasi Aballí,Inmigrantes II (Inmigrants II),Graphic art,2007,graphics
Ignasi Aballí,Sin papeles (Undocumented),Graphic art,2007,graphics
Ignasi Aballí,Personas IV (People IV),Graphic art,2007,graphics
Ignasi Aballí,Viviendas I (Housing I),Graphic art,2007,graphics
Ignasi Aballí,Reflexión (Passion),"Installation, Video",2009,video art
Ignasi Aballí,Reflexion (2008) (Reflection [2008]),Video,2009,video art
Ignasi Aballí,Les meves mans després de tocar coses brutes (My Hands after Holding Dirty Things),Photography,2016,photography
Berenice Abbott,Empire State Building,Photography,2003,photography
Berenice Abbott,New York by Night,Photography,2003,photography
Livio Abramo,Operário e máquinas (Worker and Machines),Graphic art,2017,graphics
Livio Abramo,"Ilustración para el periódico «Lo Spaghetto» (Illustration for the Newspaper ""Lo Spaghetto"")",Graphic art,2017,graphics
Livio Abramo,"Ilustración para el periódico «Lo Spaghetto» (Illustration for the Newspaper ""Lo Spaghetto"")",Graphic art,2017,graphics
Livio Abramo,"Ilustración para el periódico «Lo Spaghetto» (Illustration for the Newspaper ""Lo Spaghetto"")",Graphic art,2017,graphics
Livio Abramo,Vila operária (Working Town),Graphic art,2017,graphics
Livio Abramo,Operário (Worker),Graphic art,2017,graphics
Livio Abramo,Meninas de fábrica (Factory Girls),Graphic art,2017,graphics
Livio Abramo,Espanha (Spain),Graphic art,2017,graphics
Livio Abramo,España (Spain),Graphic art,2017,graphics
Livio Abramo,Miliciano-España (Militiaman-Spain),Graphic art,2017,graphics
Livio Abramo,Itapecerica,Graphic art,2017,graphics
Livio Abramo,Mulheres Itapecerica (Itapecerica Women),Graphic art,2017,graphics
Livio Abramo,Rio,Graphic art,2017,graphics
Livio Abramo,España Vieja Castilla (Old Castile Spain),Graphic art,2017,graphics
Livio Abramo,Macumba,Graphic art,2017,graphics
Livio Abramo,Paraguay-Las ciudades perdidas (Paraguay-The Lost Cities),Graphic art,2017,graphics
Marina Abramovic,AAA-AAA,"Photography, Performance",2007,installation
Marina Abramovic,AAA-AAA,"Installation, Performance, Video",2008,video art
Marina Abramovic,Count on Us,"Photography, Performance",2006,installation
Vito Acconci,"Three Frame Studies (Circle, Jumps, Push: Breakthrough)","Video, Action",2010,video art
Vito Acconci,"Three Relationship Studies (Manipulations, Imitations, Shadow Play)","Video, Action",2005,video art
Vito Acconci,"Three Adaptation Studies (Blindfolded Catching, Soap and Eyes, Hand and Mouth)","Video, Action",2007,video art
Vito Acconci,Centers,"Video, Action",2007,video art
Vito Acconci,Remote Control,"Installation, Video",2011,video art
Vito Acconci,Recording Studio from Air Time,Video,2005,video art
Gabriel Acevedo Velarde,Ciudadano paranormal (Paranormal Citizen),Video,2014,video art
Gabriel Acevedo Velarde,Cliente secreto (Secret Client),Video,2014,video art
Luis Acosta Moro,Cabeza de muñeca (Doll's Head),Photography,2014,photography
Robert Adams,"Colorado Springs, Colorado",Photography,2011,photography
Robert Adams,"Grazing Land with Pines, near Falcon, Colorado",Photography,2011,photography
Robert Adams,"Outdoor Theater and Cheyenne Mountain, Colorado Springs, Colorado",Photography,2011,photography
Robert Adams,"Colorado Springs, Colorado",Photography,2011,photography
Robert Adams,"Sheridan Boulevard, Lakewood",Photography,2011,photography
Robert Adams,"Denver, Colorado",Photography,2011,photography
Robert Adams,"Northglenn, Colorado",Photography,2011,photography
Robert Adams,"Lakewood, Colorado",Photography,2011,photography
Elías Adasme,A Chile (To Chile),"Photography, Action",2013,photography
Pic Adrian,Composición (Composition),Painting,1988,painting
Eva Aggerholm,Cabeza de muchacha (Head of a Young Woman),Sculpture,2017,sculpture
Eva Aggerholm,Desnudo (Nude),Sculpture,2017,sculpture
Agrupación de Plásticos Jóvenes,Libertad (Freedom),Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,Víctor Jara,Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,Violeta,Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,Derecho a la vida (Right to Life),Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,"Stgo., Chile",Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,Tatiana Fariña,Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,Justicia!! (Justice!!),Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,Libertad para Gonzalo (Freedom for Gonzalo),Graphic art,2018,graphics
Agrupación de Plásticos Jóvenes,"Imagen de Cristo, paco y gorila (Image of Christ, Cop and Gorilla)",Graphic art,2018,graphics
Fermín Aguayo,Animales sumergidos (Submerged Animals),"Work on paper, Drawing",2019,graphics
Fermín Aguayo,Sordina (Damper),Painting,2000,painting
Fermín Aguayo,Enero (January),Painting,2000,painting
Fermín Aguayo,Aurora (Dawn),Painting,2000,painting
Fermín Aguayo,Collioure,Painting,2002,painting
Fermín Aguayo,Paysage aux peupliers (Landscape with Poplars),Painting,1988,painting
Fermín Aguayo,Altos cipreses (High Cypresses),Painting,2000,painting
Fermín Aguayo,Le Pont (The Bridge),Painting,2004,painting
Cristóbal Aguilar,Sin título (Untitled),Graphic art,2010,graphics
Cristóbal Aguilar,Sin título (Untitled),Graphic art,2010,graphics
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988,graphics
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988,graphics
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988,graphics
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988,graphics
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988,graphics
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988,graphics
Sergi Aguilar,Mirada (Gaze),Sculpture,1988,sculpture
Sergi Aguilar,Octubre (October),Sculpture,1988,sculpture
Sergi Aguilar,Trans (Rojo) (Trans [Red]),"Work on paper, Drawing",1997,graphics
Sergi Aguilar,Pic - o - Walk,"Work on paper, Drawing",1997,graphics
Lorenzo Victoriano Aguirre Sánchez,Luz divina (Divine Light),Painting,1988,painting
Javier Aguirre,Uts cero,Film,2008,video art
Javier Aguirre,"Che, Che, Che",Film,2008,video art
Javier Aguirre,Fluctuaciones entrópicas (Entropic Fluctuations),Film,2008,video art
Javier Aguirre,Objetivo 40º (40 Degree Lens),Film,2008,video art
Javier Aguirre,Espectro siete (Espectre Seven),Film,2008,video art
Javier Aguirre,Innerzeitigkeit (Temporalidad interna) (Innerzeitigkeit [Internal Temporality]),Film,2008,video art
Javier Aguirre,Múltiples. Número indeterminado (Multiples. Unknown Number),Film,2008,video art
Javier Aguirre,Impulsos ópticos en progresión geométrica (Optical Impulses in Geometric Progression),Film,2008,video art
Juan Antonio Aguirre,"Tarde en Flamengo, Río de Janeiro (Afternoon in Flamengo, Rio de Janeiro)",Painting,2007,painting
Agustín Parejo School,Caucus,"Action, Video",2013,video art
Agustín Parejo School,Picasso par Picabia (Picasso by Picabia),Video,2013,video art
Agustín Parejo School,Málaga Euskadi da,Video,2013,video art
Agustín Parejo School,Sábana Santa (The Holy Shroud),"Installation, Decorative arts, Textiles",2014,object
Agustín Parejo School,Dame algo (Give me Something),Sculpture,2014,sculpture
Pep Agut,Rescue attemp. Nonsense (Attempt at Salvation. Absurd),Sculpture,2012,sculpture
Pep Agut,Distancia Zero (Zero Distance),Sculpture,2012,sculpture
Pep Agut,Hèrcules (Autoretrat en devaluació econòmica i plusvàlua cultural) (Hercules [Self-Portrait in Economic Devaluation and Cultural Capital Gain]),"Work on paper, Drawing",2008,graphics
Ana Laura Aláez,Superwoman,"Sculpture, Decorative arts, Textiles",2019,sculpture
Ana Laura Aláez,Sade,Photography,2000,photography
Ana Laura Aláez,Dance & Disco #1,Video,2000,video art
Ana Laura Aláez,Dance & Disco #2,Video,2000,video art
Ana Laura Aláez,Dance & Disco #3,Video,2000,video art
Ana Laura Aláez,Creative Powders,Photography,2001,photography
Ana Laura Aláez,La bestia (The Beast),Sculpture,2015,sculpture
Ana Laura Aláez,Aullido (se mata lo que se ama) (Howl [Killing What Is Loved]),Sculpture,2015,sculpture
Ana Laura Aláez,Miel-Nube-Hiel (Lady) (Honey-Cloud-Bile [Lady]),Photography,2015,photography
Enrique Alarcón,El caso de la mujer asesinadita (The Case of the Slightly Murdered Woman),"Theatre, Work on paper, Drawing",2014,graphics
Alfonso Albacete,Tercera pérgola (Third Pergola),Painting,1988,painting
Alfonso Albacete,Dos calles conducen al Sur (Two Streets Leading to the South),Painting,2002,painting
Alfonso Albacete,Después de la tormenta (Mirando a poniente) (After the Storm [Watching the Setting Sun]),Painting,2001,painting
Alfonso Albacete,Jacob 12,Painting,2001,painting
Rafael Alberti,Sin título (La barca blanca) (Untitled [The White Boat]),"Work on paper, Drawing",2001,graphics
Rafael Alberti,Sin título (Poniente) (Untitled [West]),"Work on paper, Drawing",2001,graphics
Rafael Alberti,Sin título (Un sol de agrias notas) (Untitled [A Sun of Sour Notes]),"Work on paper, Drawing",2001,graphics
Rafael Alberti,Composición (Composition),"Work on paper, Drawing",2000,graphics
Rafael Alberti,Marinero en tierra (Sailor on Land),"Work on paper, Drawing",1999,graphics
Rafael Alberti,Joselito en su gloria (Joselito in his Glory),"Work on paper, Drawing",2002,graphics
Alberto (Alberto Sánchez),El ciego de la bandurria (Blind Man with Bandurria),Sculpture,2000,sculpture
Alberto (Alberto Sánchez),Carretero vasco (Basque Labourer),Sculpture,2000,sculpture
Alberto (Alberto Sánchez),Campesina (Peasant Woman),Sculpture,1989,sculpture
Alberto (Alberto Sánchez),Café de Atocha (Café in Atocha),"Work on paper, Drawing",2000,graphics
Alberto (Alberto Sánchez),Alegoría del toro y el torero (Allegory for the Bull and the Bullfighter),"Work on paper, Drawing",1998,graphics
Alberto (Alberto Sánchez),Mascarilla de la mula (The Mule's Mask),"Work on paper, Drawing",1998,graphics
Alberto (Alberto Sánchez),La profanación de la fe (Profanation of the Faith),"Work on paper, Drawing",1998,graphics
Alberto (Alberto Sánchez),Bailarina (Dancer),Sculpture,1991,sculpture
Alberto (Alberto Sánchez),Cabeza de Góngora (Góngora's Head),Sculpture,1991,sculpture
Alberto (Alberto Sánchez),Bailarina (Dancer),Sculpture,1989,sculpture
Alberto (Alberto Sánchez),Recuerdo de Melilla (Memory of Melilla),"Work on paper, Drawing",1998,graphics
Alberto (Alberto Sánchez),Maternidad (Maternity),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),Maternidad (Maternity),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),Monumento a los pájaros (fragmento) (Monument to the Birds [Fragment]),Sculpture,1991,sculpture
Alberto (Alberto Sánchez),"Boceto para el decorado central de «Fuenteovejuna» (Sketch for Central Set of ""Fuenteovejuna"")","Work on paper, Drawing",2002,graphics
Alberto (Alberto Sánchez),"Boceto para el decorado lateral de «Fuenteovejuna» (Sketch for Lateral Set of ""Fuenteovejuna"")","Work on paper, Drawing",2002,graphics
Alberto (Alberto Sánchez),"Boceto para el decorado lateral de «Fuenteovejuna» (Sketch for Lateral Set of ""Fuenteovejuna"")","Work on paper, Drawing",2002,graphics
Alberto (Alberto Sánchez),"Macho-hembra. Boceto para el telón lateral derecho del ballet «La romería de los cornudos» (Male-Female. Sketch for the right side courtain of the ballet ""The Pilgrimage of Cuckolds"")","Work on paper, Drawing, Modern dance",2002,graphics
Alberto (Alberto Sánchez),La romería de los cornudos (The Pilgrimage of Cuckolds),"Modern dance, Painting",2001,painting
Alberto (Alberto Sánchez),Benimámet,"Work on paper, Drawing",1988,graphics
Alberto (Alberto Sánchez),El pueblo español tiene un camino que conduce a una estrella (maqueta) (The Spanish People Have a Path that Leads to a Star [Maquette]),Sculpture,2008,sculpture
Alberto (Alberto Sánchez),El pueblo español tiene un camino que conduce a una estrella (maqueta) (The Spanish People Have a Path that Leads to a Star [Maquette]),Sculpture,1991,sculpture
Alberto (Alberto Sánchez),El Quijote: pueblo de La Mancha (El Quijote: Town in La Mancha),"Work on paper, Drawing",1988,graphics
Alberto (Alberto Sánchez),Escultura rural toledana (Sculpture for Rural Area of Toledo),"Work on paper, Drawing",2000,graphics
Alberto (Alberto Sánchez),Minerva de los Andes (Minerva of the Andes),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),Árboles que parecéis (Trees That You Are Like),"Work on paper, Drawing",1991,graphics
Alberto (Alberto Sánchez),"Boceto para «La fuente del festival» (Sketch for ""The Festival Fountain"")","Work on paper, Drawing",2000,graphics
Alberto (Alberto Sánchez),Perdiz del Cáucaso (Partridge from the Caucasus),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),Poste de señales del río Belaya (Signal Post at Belaya River),Sculpture,1991,sculpture
Alberto (Alberto Sánchez),Apunte de escultura para un puerto (Note on a Sculpture for a Port),"Work on paper, Drawing",2000,graphics
Alberto (Alberto Sánchez),La dama del pan de Riga (The Lady of the Bread in Riga),"Work on paper, Drawing",2006,graphics
Alberto (Alberto Sánchez),La dama del pan de Riga (The Lady of Bread in Riga),Sculpture,2006,sculpture
Alberto (Alberto Sánchez),Toro (Bull),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),Torero (Bullfighter),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),Reclamo de alondras (Skylark Lure),Sculpture,1991,sculpture
Alberto (Alberto Sánchez),Máscara (Mask),Sculpture,2005,sculpture
Alberto (Alberto Sánchez),Casa del pájaro ruso (The Russian Bird's House),Sculpture,1988,sculpture
Alberto (Alberto Sánchez),El gallo y la gallina (The Rooster and the Hen),Sculpture,1988,sculpture
José Antonio Alcácer Garmendia,Represión (Repression),Graphic art,2010,graphics
José Antonio Alcácer Garmendia,El cartel del crimen (Crime Cartel),Graphic art,2010,graphics
Carlos Alcolea,Schreber también escribe (Schreber Also Writes),Painting,2002,painting
Carlos Alcolea,"Matisse de día, Matisse de noche (Matisse by Day, Matisse by Night)",Painting,1988,painting
Carlos Alcolea,Finisterre (Fisterra),Painting,2013,painting
Eduardo Alcoy Lázaro,Pintura 59-70 (Painting 59-70),Painting,1988,painting
Pierre Alechinsky,Les hautes herbes (The High Grass),Painting,1997,painting
José Luis Alexanco,Doble postura para hombre que corre (Double Position for a Man Running),Painting,2008,painting
José Luis Alexanco,Programa MOUVNT (Computer Program MOUVNT),"Digital art, Computer art",2008,new media
José Luis Alexanco,Soledad interrumpida (Interrupted Solitude),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Buenos Aires,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Palacio de Cristal II (Crystal Palace II),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Palacio de Cristal I (Crystal Palace I),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Soledad interrumpida (Interrupted Solitude),"Installation, Performance",2009,installation
José Luis Alexanco,138 (Historia natural) (138 [Natural History]),Film,2008,video art
José Luis Alexanco,Sablonceaux II,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Historia Natural III (Natural History III),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Historia Natural II (Natural History II),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Historia Natural IV (Natural History IV),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Historia Natural I (Natural History I),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Historia Natural V (Natural History V),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Paris ARC I,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Paris ARC II,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,Sablonceaux IV,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Sablonceaux III,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Munich,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Sablonceaux I,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Sablonceaux V,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Sablonceaux VII,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Sablonceaux VIII,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Sablonceaux II,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,Escultura MOUVNT (MOUVNT Sculpture),Sculpture,2009,sculpture
José Luis Alexanco,S. I. Université de Montréal (S.I. University of Montreal),"Work on paper, Collage",2008,graphics
José Luis Alexanco,S. I. Université d'Ottawa (I. S. University of Ottawa),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Ingerencia informal (Informal Interference),"Work on paper, Collage",2020,graphics
José Luis Alexanco,The Kitchen III,"Work on paper, Collage",2008,graphics
José Luis Alexanco,The Kitchen I,"Work on paper, Collage",2008,graphics
José Luis Alexanco,The Kitchen IV,"Work on paper, Collage",2008,graphics
José Luis Alexanco,The Kitchen II,"Work on paper, Collage",2008,graphics
José Luis Alexanco,Por diversos motivos 2 (For Various Reasons 2),"Work on paper, Collage",2008,graphics
José Luis Alexanco,Por diversos motivos 1 (For Various Reasons 1),"Work on paper, Collage",2008,graphics
Elvira Alfageme Esteban,Planos y líneas (Planes and Lines),Sculpture,1988,sculpture
Elvira Alfageme Esteban,Yunque (Anvil),Sculpture,1988,sculpture
Elvira Alfageme Esteban,Torre espacial (Spatial Tower),Sculpture,1988,sculpture
Andreu Alfaro,Filferro i llauna IV (b) (Wire and Tin IV [b]),Sculpture,1997,sculpture
Andreu Alfaro,Homenaje a Picasso (Homage to Picasso),Sculpture,1988,sculpture
Andreu Alfaro,Any 1968. Estampa Popular de València (Year 1968. Estampa Popular de Valencia),Graphic art,2010,graphics
Andreu Alfaro,No Title,Sculpture,1997,sculpture
Andreu Alfaro,No Title,Sculpture,1997,sculpture
Andreu Alfaro,Mujer tumbada (Lying Woman),Sculpture,1989,sculpture
Carlos Washington Aliseris Genta,Valle de Aiguá (Valley of Aiguá),Painting,1988,painting
Lara Almarcegui,"Explorando el suelo, Sala Moncada, Barcelona (Exploring the Floor, Sala Moncada, Barcelona )",Photography,2012,photography
Helena Almeida,Desenho habitado (Inhabited Drawing),Photography,2010,photography
Helena Almeida,Desenho habitado (Inhabited Drawing),Photography,2010,photography
Helena Almeida,Desenho habitado (Inhabited Drawing),Photography,2010,photography
Helena Almeida,Sem titulo (Untitled),Photography,1997,photography
Fernando Almela,Romance de ciego (Blind Romance),Painting,2014,painting
Fernando Almela,Espejo de Anita (Anita's Mirror),Painting,2014,painting
Pedro Almodóvar,PA SOL INI,"Work on paper, Drawing",2015,graphics
Max Almy,The Perfect Leader,Video,2006,video art
Josep Alumà i Sans,No Title,Photography,2011,photography
Darío Álvarez Basso,La Casa dei Cervi (The House of the Deers),Painting,1998,painting
Manuel Álvarez Bravo,"Manuel Álvarez Bravo, Fotografías (Manuel Álvarez Bravo, Photographs)",Photography,2015,photography
Manuel Álvarez Bravo,Autorretrato (Self-Portrait),Photography,1997,photography
Efrén Álvarez,Democratic Centralism,"Work on paper, Drawing",2019,graphics
Efrén Álvarez,Vanguardias históricas (Historical Avant-Gardes),"Work on paper, Drawing",2019,graphics
Efrén Álvarez,Flujo circular del dinero. Distinción entre casas (Circular Flow of Money. Distinction Between Houses),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Transacciones de los ricos. La acción (Transactions of the Rich. The Action),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Flujo circular del dinero (Circular Flow of Money),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Flujo circular del dinero. Supervisar (Circular Flow of Money. Supervising),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Flujo circular del dinero. Organizar (Organising. Circular Flow of Money),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Transacciones de los ricos. El inmueble (The Property. Transactions of the Rich),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Flujo circular del dinero (Circular Flow of Money),"Work on paper, Drawing",2012,graphics
Efrén Álvarez,Transacciones de los ricos. El negocio (The Business. Transactions of the Rich),"Work on paper, Drawing",2012,graphics
Francisco Álvarez,Los abogados del dólar (Lawyers of the Dollar),Graphic art,2011,graphics
Francisco Álvarez,Manifestación (Demonstration),Graphic art,2010,graphics
Francisco Álvarez,Militares (Soldiers),Graphic art,2010,graphics
Francisco Álvarez,Marioneta política (Political Puppet),Graphic art,2010,graphics
Francisco Álvarez,La ley del embudo (Funnel Law),Graphic art,2011,graphics
Francisco Álvarez,La ley del embudo (The Bottle-Neck Law),Graphic art,2011,graphics
Francis Alÿs,Sin título (Untitled),"Work on paper, Collage, Painting",2004,graphics
Francis Alÿs,Sin título (Untitled),Painting,2004,painting
Francis Alÿs,Sin título (Untitled),Painting,2004,painting
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004,graphics
Francis Alÿs,Sin título (Untitled),Painting,2004,painting
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004,graphics
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004,graphics
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing, Work on paper, Collage",2004,graphics
Francis Alÿs,Sin título (Untitled),"Work on paper, Drawing",2004,graphics
Raymundo Amado,Apocalipopótese (Guerra & Paz) Apocalipopótese (War & Peace),Video,,video art
Tarsila do Amaral,A familia (The Family),Painting,2003,painting
Tarsila do Amaral,Abaporu VI,"Work on paper, Drawing",2003,graphics
Eugenio Ampudia,En juego (In Play),Video,2006,video art
Eugenio Ampudia,Chamán (Shaman),"Installation, Video",2007,video art
Ayreen Anastas,STÖRUNG der KOMMUNIKATION bedingt (Interrupted Communication),,2017,
Erik Andersen,Opus 74. Version 2,Film,2009,video art
Armando Andrade Tudela,UNSCH / Pikimachay,Installation,2013,installation
Jonathas de Andrade,O Caseiro (The Housekeeper),Video,2017,video art
Carl Andre,Magnesium Copper Plain,"Sculpture, Installation",2008,sculpture
Claudia Andujar,Vertical 9,Photography,2018,photography
Manuel Ángeles Ortiz,Balcón abierto y plato con pescados (Open Balcony and Plate with Fish),Painting,2016,painting
Manuel Ángeles Ortiz,Bodegón (Still Life),Painting,2000,painting
Manuel Ángeles Ortiz,Sin título (Untitled),Painting,1997,painting
Manuel Ángeles Ortiz,Retrato de Marcelino Domingo (Portrait of Marcelino Domingo),Painting,1988,painting
Manuel Ángeles Ortiz,Sin título (Untitled),Sculpture,2016,sculpture
Manuel Ángeles Ortiz,"Agua, plantas y animales (Water, Plants and Animals)","Work on paper, Drawing",1997,graphics
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997,graphics
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997,graphics
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997,graphics
Manuel Ángeles Ortiz,Sin título (Untitled),"Work on paper, Drawing",1997,graphics
Manuel Ángeles Ortiz,Botellas y periódicos (Bottles and Newspapers),Painting,1988,painting
Manuel Ángeles Ortiz,Paseo de los cipreses (The Cypress Walk),Painting,1988,painting
Manuel Ángeles Ortiz,Albaicin,Painting,1988,painting
Manuel Ángeles Ortiz,Campo de Granada (Granada Field),Painting,2001,painting
Manuel Ángeles Ortiz,Conjunto de imágenes en forma rectangular y posiciones combinadas (Set of Images in Rectangular Shape and Combined Positions),Painting,1988,painting
Hermen Anglada Camarasa,Paisaje (Landscape),Painting,1988,painting
Hermen Anglada Camarasa,Démarche gitane (The Gypsy Way of Walking),Painting,1988,painting
Hermen Anglada Camarasa,La gitana de las granadas (The Gypsy of the Pomegranates),Painting,1988,painting
Hermen Anglada Camarasa,La novia de Benimamet (The Bride from Benimamet),Painting,1999,painting
Hermen Anglada Camarasa,Sonia de Klamery (de pie) (Sonia de Klamery [Standing]),Painting,1988,painting
Hermen Anglada Camarasa,Sonia de Klamery (echada) (Sonia de Klamery [Lying]),Painting,1988,painting
Hermen Anglada Camarasa,Duquesa de Dúrcal (Duchess of Dúrcal),Painting,1988,painting
Hermen Anglada Camarasa,Llegada de la romería del arroz (Pilgrimage Followed by a Picnic of Rice),Painting,1988,painting
James Craig Annan,A Blind Musician–Granada,Photography,2005,photography
James Craig Annan,A Carpenter´s Shop–Toledo,Photography,2005,photography
James Craig Annan,Group on a Hill Road–Granada,Photography,2005,photography
James Craig Annan,Bridge of St. Martin–Toledo,Photography,2005,photography
James Craig Annan,Old Church–Burgos,Photography,2005,photography
James Craig Annan,A Square–Ronda,Photography,2005,photography
James Craig Annan,A Gateway–Segovia,Photography,2005,photography
James Craig Annan,A Gitana–Granada,Photography,2005,photography
Anónimo,Bei unsere helden an der Somme (The Heroes of the Somme),Film,,video art
Anónimo,La mujer y la guerra (The woman and the war),Video,,video art
Anónimo,España en la feria mundial de Nueva York (Spain in the New York world fair),Video,,video art
Anónimo,Diario Spagnolo. Making-of del rodaje de la película Cabezas cortadas de Glauber Rocha (Diario Spagnolo. Behind the Scenes of the Filming of Glauber Rocha’s Film Cabezas cortadas [Cutting Heads]),Video,,video art
Anónimo,San Sebastián,Photography,2005,photography
Anónimo,Granada. Panorama del Albaicín (Granada. Panorama of the Albaicín),Photography,2005,photography
Anónimo,Barcelona,Photography,2005,photography
Anónimo,Alicante,Photography,2005,photography
Anónimo,Santander,Photography,2005,photography
