Artist,Title,Medium,Medium_classified,Acquisition_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Heta Kuchka,"Mrs. Pruitt, piirustussarjasta Ghosts (Aaveet)",,graphics,,2010,,1974,,,2009
Sanna Sarva,Jesin hautausmaa sateisena kesäpäivänä,,,,2020,,1964,,,2020
Pekka Jylhä,Pienoismalli teoksesta Ikkuna taivaalle,,graphics,,2007,,1955,,,2006
Minna Mäkelä,Iholla,,object,,2007,,1975,,,2007
Ahmet Ögut,Rinkelin myyjä,,graphics,,2009,,1981,,,2008
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Elina Merenmies,Hyttynen,,graphics,,2007,,1967,,,1991
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Heta Kuchka,"Rose, piirustussarjasta Ghosts (Aaveet)",,graphics,,2010,,1974,,,2009
Milla Moilanen,Wanted,,video art,,1999,,1964,,,1998
Jarkko Räsänen,,,,,2018,,1984,,,2014
Mox Mäkelä,klinikan elävä,,installation,,1991,,1958,,,1991
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Sanna Kohonen,Sarjasta Päiväkirjamerkintöjä,,graphics,,1996,,1964,,,1996
Teemu Saukkonen,Juhlakalu,,,,1992,,1954,,,1988
Heidi Romo,Perhe,,,,2007,,1969,,,2007
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Pentti Otto Koskinen,Piirustus,,graphics,,1996,,1952,,,1995
Tapani Mikkonen,Murros,,graphics,,,,1952,2014,,1979
Henry Wuorila-Stenberg,Bodhisattva-vala,,painting,,2018,,1949,,,1998
Alexei Gordin,Musta neliö,,painting,,2018,,1989,,,2014
Riitta Åkerstedt,Bambikapselit,,painting,,2018,,1944,,,1996
Elina Merenmies,Ristinkantaja,,graphics,,2007,,1967,,,1991
Edward Rankus,AlieNATION,,video art,,1991,,,,,1980
Rauha Mäkilä,,,painting,,2009,,1980,,,2009
Marika Mäkelä,,,graphics,,2009,,1947,,,2006
Marikki Hakola,Stilleben - Milena's Journey,,video art,,1994,,1960,,,1989
Olli Marttila,Nimetön,,graphics,,2018,,1948,,,2008
Kris Lemsalu,Tähti,,installation,,2017,,1985,,,2016
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Elina Merenmies,Turhat vaellukset,,graphics,,2007,,1967,,,1991
Reija Meriläinen,,,video art,,2017,,1987,,,2016
Veli Granö,Saaret,,installation,,2006,,1960,,,2004
Tiina Vainio,"Sarjasta ""Toscanan rikkaruohot""",,graphics,,2007,,1960,,,2007
Kalervo Palsa,nimetön ; luonnos,,graphics,,1999,,1947,1987,,1986
Zhao Shaoruo,sarjasta Kiinassa on eräs ZHAO SHAORUO,,object,,1998,,1962,,,1994
Paula Kukkonen,Delfiinit II,,,,1994,,1956,,,1994
Olav Christopher Jenssen,Akvarellisarja,,graphics,,1994,,1954,,,1992
Jaana Kautto,"Immuli, sarjasta Ammutaan (lehmät)",,,,1994,,1963,,,1992
Anne Koskinen,Viimeinen ateria,,,,2009,,1969,,,2008
Keith Sonnier,Nimetön,,graphics,,1991,,1941,,,1981
Jussi Heikkilä,Merimaisema,,graphics,,1994,,1952,,,1989
Viggo Wallensköld,Pelikortit,,graphics,,2007,,1969,,,2006
Arno Rafael Minkkinen,,,,,2008,,1945,,,1974
Vitantonio Russo,Economia alla specchio,,graphics,,1991,,1932,,,
Muriel Kuoppala,,,graphics,,2020,,1981,,,2019
Muriel Kuoppala,,,graphics,,2020,,1981,,,2020
Heli Kurunsaari,Muistin varassa,,,,2010,,1971,,,2006
Muriel Kuoppala,,,graphics,,2020,,1981,,,2020
Olli Marttila,Kun olin kuvitellut olleeni olemassa: Kasvot,,graphics,,2006,,1948,,,2003
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,
Jan-Erik Andersson,Clean/Puhdas/Ren,,video art,,1996,,1954,,,1995
Hannele Rantala,47 lähtöä,,,,2010,,1952,,,1999
Juul Kraijer,Nimetön,,sculpture,,2006,,1970,,,2006
Ritva Tuomi,Rauhaniemi,,graphics,,1994,,1963,,,1992
Hubert Scheibl,Nimetön,,graphics,,1991,,1952,,,1987
Keith Sonnier,Nimetön,,graphics,,1991,,1941,,,1981
Päivikki Kallio,Sarjasta sisäkuvia,,video art,,2010,,1952,,,
Ulay Ulay,Enkelten kaupunki,,video art,,,,1943,,,1983
Janne Räisänen,,,graphics,,2008,,1971,,,2005
Päivikki Kallio,Sarjasta sisäkuvia,,video art,,2010,,1952,,,
Kalervo Palsa,nimetön,,graphics,,1999,,1947,1987,,1972
Shoji Kato,,,graphics,,2008,,1969,,,2007
