Artist,Title,Medium,Year_acquisition
Fermín Aguayo,Collioure,Painting,2002
Fermín Aguayo,Paysage aux peupliers (Landscape with Poplars),Painting,1988
Fermín Aguayo,Altos cipreses (High Cypresses),Painting,2000
Fermín Aguayo,Le Pont (The Bridge),Painting,2004
Cristóbal Aguilar,Sin título (Untitled),Graphic art,2010
Cristóbal Aguilar,Sin título (Untitled),Graphic art,2010
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988
Sergi Aguilar,Sin título (Untitled),"Work on paper, Drawing",1988
Sergi Aguilar,Mirada (Gaze),Sculpture,1988
Sergi Aguilar,Octubre (October),Sculpture,1988
Sergi Aguilar,Trans (Rojo) (Trans [Red]),"Work on paper, Drawing",1997
Sergi Aguilar,Pic - o - Walk,"Work on paper, Drawing",1997
Lorenzo Victoriano Aguirre Sánchez,Luz divina (Divine Light),Painting,1988
Javier Aguirre,Uts cero,Film,2008
Javier Aguirre,"Che, Che, Che",Film,2008
Javier Aguirre,Fluctuaciones entrópicas (Entropic Fluctuations),Film,2008
Javier Aguirre,Objetivo 40º (40 Degree Lens),Film,2008
Javier Aguirre,Espectro siete (Espectre Seven),Film,2008
Javier Aguirre,Innerzeitigkeit (Temporalidad interna) (Innerzeitigkeit [Internal Temporality]),Film,2008
Javier Aguirre,Múltiples. Número indeterminado (Multiples. Unknown Number),Film,2008
Javier Aguirre,Impulsos ópticos en progresión geométrica (Optical Impulses in Geometric Progression),Film,2008
Juan Antonio Aguirre,"Tarde en Flamengo, Río de Janeiro (Afternoon in Flamengo, Rio de Janeiro)",Painting,2007
Agustín Parejo School,Caucus,"Action, Video",2013
Agustín Parejo School,Picasso par Picabia (Picasso by Picabia),Video,2013
Agustín Parejo School,Málaga Euskadi da,Video,2013
Agustín Parejo School,Sábana Santa (The Holy Shroud),"Installation, Decorative arts, Textiles",2014
Agustín Parejo School,Dame algo (Give me Something),Sculpture,2014
Pep Agut,Rescue attemp. Nonsense (Attempt at Salvation. Absurd),Sculpture,2012
