,Artist,Title,Year_acquisition,Date_creation_year,Artist_birth_year,Artist_death_year
1,Alfred William Finch,"Malliharjoitelma, nainen, jolla on mustat sukat jalassa",,,1854,1930
2,Alfred William Finch,Hevonen,,,1854,1930
6,Akseli Gallen-Kallela,"Zvicken, nukkuva koira, harjoitelma",,,1865,1931
8,Per Krohg,"Juominki, luonnos Grand Cafén seinämaalaukseen Oslossa",,1928,1889,1965
11,Ulla Rantanen,Katukuva,2003,1969,1938,
12,Verner Thomé,Pääkallo,,,1878,1953
14,Ilmari Huitti,Mietteissä,,1930,1897,1960
25,Oskari Paatela,Maisema Suursaarelta,,1925,1888,1952
29,Albert Edelfelt,Taiteilijatar Antoinette Vallgren os. Råström,,1887,1854,1905
31,Håkan Brunberg,Tyttö ja miehet mustissa,,,,
35,Hugo Simberg,Edvard Munchin näyttelyn juliste,1928,1909,1873,1917
36,Magnus Enckell,Veneitä rannalla,,1902,1870,1925
42,Sigurd Wettenhovi-Aspa,August Strindbergin muotokuva,,1894,1870,1946
47,Helmi Kuusi,Omenapuita,,1975,1913,2000
48,Hugo Simberg,Omenien poimija,1987,1901,1873,1917
62,Pentti Kaskipuro,Omenapuu,,1963,1930,2010
77,Pentti Kaskipuro,Omenavati,,2001,1930,2010
78,Eero Järnefelt,Omenapuu,,1883,1863,1937
80,Alice Kaira,Naruleikki,,1987,1913,2006
83,Marino Marini,Ratsastaja,,1955,1901,1980
91,Adolf von Becker,Nukkuva harmaa kissa ja rotta,1865,1864,1831,1909
93,Magnus Enckell,"""Hemåt i höstregn""",,1896,1870,1925
102,Adolf von Becker,Kissa poikasineen,1864,1863,1831,1909
115,Ina Colliander,Enkeli tulipunainen,,1959,1905,1985
119,Hugo Simberg,Haavoittunut enkeli,,1903,1873,1917
121,Maria Wiik,"Makaava kissa, Mosse",,1872,1853,1928
153,Kosti Meriläinen,Suomenlinnasta,,1917,1886,1938
162,Albert Edelfelt,"Von Essen-runon alkukirjain H, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,1897,1854,1905
165,Lars-Gunnar Nordström,Konstruktio,,1954,1924,2014
173,Gino Forti,Debora,,1994,,
184,Duilio Rossoni,Maisema Laziosta I,2009,2008,,
195,Ole Kandelin,Nuorallatanssija,,1944,1920,1947
196,Eino Ahonen,Tilanpäiten,1971,1971,1941,
202,Leo Lindsten,Ylösnousemus,,1969,1943,1988
204,Aukusti Uotila,Soitannollisen kodin sisäkuva,,1879,1858,1886
205,Johannes Takanen,"Narkissos, luonnos",1886,1875,1849,1885
206,Karl Emanuel Jansson,"""Nuoruudenystävän"" muotokuva (Hjalmar Montell)",1895,1866,1846,1874
210,Tuulikki Pietilä,Colloquio di donne,,1952,1917,2009
231,Pentti Kaskipuro,Nukkuva kissa,,1980,1930,2010
235,Pentti Kaskipuro,Istuva kissa,,1980,1930,2010
237,Johannes Takanen,Istuva kissa,,1860,1849,1885
239,Ville Vallgren,August Strindbergin rintakuva,1888,1885,1855,1940
241,Magnus Enckell,Luonnoskirja,1926,,1870,1925
242,Ellen Thesleff,Luonnoskirja,,1888,1869,1954
243,Ellen Thesleff,Luonnoskirja,,1888,1869,1954
244,Ellen Thesleff,Luonnoskirja,,1901,1869,1954
245,Ellen Thesleff,Luonnoskirja,,1923,1869,1954
246,Ellen Thesleff,Luonnoskirja,,1911,1869,1954
247,Ellen Thesleff,Luonnoskirja,,1890,1869,1954
248,Ellen Thesleff,Luonnoskirja,,1902,1869,1954
251,Berndt Lindholm,Höyrylaiva jäissä,,1878,1841,1914
254,Akseli Gallen-Kallela,Tali ja Adolf Paulin exlibris,1917,1897,1865,1931
261,Greta Hällfors-Sipilä,Fiikus-laulu,,1917,1899,1974
265,Auguste Rodin,Ovidiuksen Metamorfoosit,1893,1885,1840,1917
335,Akseli Gallen-Kallela,Väinämöinen ja impi,,1896,1865,1931
353,Akseli Gallen-Kallela,Kuolema ja kukka,1903,1896,1865,1931
356,Akseli Gallen-Kallela,"Ilmarinen kyntää kyisen pellon, luonnos Suomen
paviljongin kupolifreskoihin Pariisin vuoden
1900 maailmannäyttelyyn",,1899,1865,1931
357,Akseli Gallen-Kallela,Venevanhus,2008,1924,1865,1931
369,Akseli Gallen-Kallela,"Tuonelan joella, esityö Juseliuksen mausoleumin freskoa varten",,1903,1865,1931
395,Magnus Enckell,Luonnoskirja,1926,,1870,1925
424,Akseli Gallen-Kallela,Mount Kenya,,1909,1865,1931
450,Frans Maexmontan,Barösund,,1889,1847,1901
456,Akseli Gallen-Kallela,Portti Taosissa,,1925,1865,1931
497,Akseli Gallen-Kallela,Hugo Samzeliuksen exlibris,1924,1904,1865,1931
520,Johan Carl Neumann,Merikuva,1871,1870,1833,1891
522,Unto Pusa,Maisema,,1962,1913,1973
524,Akseli Gallen-Kallela,Anna Slöörin exlibris,,1896,1865,1931
528,Akseli Gallen-Kallela,Taos-vuoret pilvien peitossa,,1924,1865,1931
533,Ilja Repin,"Julia Jakub, muotokuvaharjoitelma",,1879,1844,1930
535,Akseli Gallen-Kallela,Kalman kukka (ilman runotekstiä),1917,1895,1865,1931
563,Akseli Gallen-Kallela,Karjalainen nainen,1917,1891,1865,1931
567,Robert Wilhelm Ekman,"Ilmarinen ja Pohjan neito ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
571,Robert Wilhelm Ekman,Tuulet puhaltavat ahjoon,,1860,1808,1873
573,Ferdinand von Wright,Palokärki,,1831,1822,1906
581,Oscar Hullgren,Takapihalta,1919,,1869,1948
591,Werner Holmberg,"Metsänsisusta, jyrkkä kallioseinämä, puita",1890,1848,1830,1860
592,Robert Wilhelm Ekman,"Ilmarinen takoo sampoa ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar R.W.Ekman""",,1860,1808,1873
596,Robert Wilhelm Ekman,Kansallispukuinen selin seisova nainen,,,1808,1873
597,Robert Wilhelm Ekman,"Kirkonvartija Erik Sarenin muotokuva, luonnos",,,1808,1873
598,Robert Wilhelm Ekman,Selin seisova moralaisnainen,,1840,1808,1873
599,Robert Wilhelm Ekman,"Lemminkäinen ja Hiiden hirvi ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
600,Robert Wilhelm Ekman,Istuva talonpoikaisnainen St Andresta sekä selkäharjoitelma samasta naisesta,,,1808,1873
603,Wilhelm von Wright,"Maria Elisabeth von Wright, taiteilijan äiti",,1844,1810,1887
615,Jean-Louis Forain,Folies Bergeresta,1919,,1852,1931
619,Akseli Gallen-Kallela,Pirtin salvoksella,,1906,1865,1931
622,Werner Holmberg,Lehtipuuryhmä,1890,1858,1830,1860
628,Robert Wilhelm Ekman,Adlercreutz. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
629,François Feyen-Perrin,Merimiehen lapsuus,1919,1870,,
636,Werner Holmberg,Kuunari Hoppet ankkurissa Rödhamnissa Ahvenanmaalla 26.6.1853,1889,1853,1830,1860
639,Werner Holmberg,"Maisema, metsikkö ja halkopino",1890,1858,1830,1860
645,Akseli Gallen-Kallela,"Yösija nuotiolla, 12. luku",,1907,1865,1931
654,Robert Wilhelm Ekman,Winåkerilaispoika kansanpuvussa,,,1808,1873
655,Robert Wilhelm Ekman,Italialainen maalaistalo,,,1808,1873
661,Robert Wilhelm Ekman,Kristus herättää vainajan,,,1808,1873
662,Åke Hellman,Itäkarjalainen tyttö,,1944,1915,2017
673,Ferdinand von Wright,Närhi,,1831,1822,1906
684,William Unger,Am Karst,1919,,1837,1932
691,Robert Wilhelm Ekman,"Taalalainen kerjäläisperhe, nainen kolmen lapsen kanssa",,1836,1808,1873
695,Robert Wilhelm Ekman,Vänrikin markkinamuisto. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
698,Robert Wilhelm Ekman,"Väinämöinen ja Aino, luonnos Kalevala-piirrossarjaan",,1860,1808,1873
701,Ferdinand von Wright,Vasikka pilttuussa,,,1822,1906
705,Robert Wilhelm Ekman,Viisi erilaisissa tilanteissa olevaa poikaa,,,1808,1873
708,Robert Wilhelm Ekman,"""Satu seitsemästä sisaruksesta"", luonnos Haeggströmin sisarusten ryhmämuotokuvaa (1862) varten",,1862,1808,1873
712,Akseli Gallen-Kallela,"Hirsien kantaminen, 11. luku",,1907,1865,1931
715,Akseli Gallen-Kallela,Luonnos ensimmäisen luvun otsakekuvaksi,,,1865,1931
716,Werner Holmberg,Kesämaisema,1890,1858,1830,1860
718,Werner Holmberg,"Metsänsisusta ja harjoitelma puiden rungoista ; Metsänsisusta, edessä oikealla iso kivi (kaksipuolinen teos)",1890,1859,1830,1860
723,Adolf von Becker,Vauva sekä luonnoksia vauvan kasvoista ja niskasta,,,1831,1909
724,Robert Wilhelm Ekman,"Lemminkäisen surma ; Originaalipiirustus piirrossarjaan ""Kalewala, Fink National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
730,Wilhelm von Wright,"Anna Christina von Wright, taiteilijan isoäiti",,1844,1810,1887
732,Robert Wilhelm Ekman,Mies kädet puuskassa ja nainen kansallispuvussa,,,1808,1873
733,Werner Holmberg,"Maisema, puuryhmä ja puron yli johtava silta",1890,1858,1830,1860
735,Werner Holmberg,Sammaleinen kallio metsässä,1890,1857,1830,1860
737,Constantin Hansen,Autio luostarinpiha,1953,1838,1804,
738,Wilhelm von Wright,Napoleon,,1826,1810,1887
739,Ferdinand von Wright,Erilaisia luonnoksia lehmistä ja sonneista,,,1822,1906
740,Robert Wilhelm Ekman,Kansallispukuinen seisova nainen edestä ja takaa,,,1808,1873
741,Robert Wilhelm Ekman,Jouluilta,,,1808,1873
743,Olle Hjortzberg,Seisova tyttö,1919,,1872,
747,Wilhelm Marstrand,Kaipaus,1953,,1810,1873
748,Akseli Gallen-Kallela,Luonnos Rukoilevaan impeen,,1907,1865,1931
750,Ilja Repin,Henkilöharjoitelma maalaukseen Odottamaton kotiinpaluu,,1883,1844,1930
755,Christoffer Wilhelm Eckersberg,Venäläisiä purjelaivoja Helsingørin sataman suulla,1953,1826,1783,1853
758,Adolf von Becker,Kehräävä nainen,,,1831,1909
759,Robert Wilhelm Ekman,"Mies merestä, luonnos Kalevala-aiheiseen piirrossarjaan",,1860,1808,1873
761,Åke Hellman,Nuori asevelvollinen,,1941,1915,2017
762,Akseli Gallen-Kallela,Intiaani ratsain,,1925,1865,1931
764,Werner Holmberg,Kivenjärkäleitä metsässä,1890,1857,1830,1860
771,Robert Wilhelm Ekman,Kristus siunaamassa kahta polvistunutta henkilöä,,,1808,1873
772,Robert Wilhelm Ekman,Vanha luhti,,,1808,1873
787,Akseli Gallen-Kallela,Suuri hauki,,1904,1865,1931
793,Robert Wilhelm Ekman,AIHE Italiasta: Kiemurainen lehtipuu,,,1808,1873
797,Werner Holmberg,Näsijärven lahti,1890,1857,1830,1860
806,Robert Wilhelm Ekman,Rouva Ramsay. Kuvitusta Vänrikki Stålin tarinoiden runoon Matkamiehen näky,,1869,1808,1873
807,Robert Wilhelm Ekman,Luurankoharjoitelma lapaluista ja säärestä,,,1808,1873
808,Robert Wilhelm Ekman,"Nainen, joka nojaa leukaansa vasempaan käteen",,,1808,1873
809,Robert Wilhelm Ekman,"""En Mora kulla för bocken på bete"", nainen ratsastamassa pukilla",,1836,1808,1873
810,Eero Järnefelt,Vesileinikki ja rantakivet,,1895,1863,1937
811,Werner Holmberg,"Maisema, vasemmalla metsänpeittämä vuori ja oikealla edessä tasaista maata",1890,1858,1830,1860
814,Robert Wilhelm Ekman,Maalaistalon kaivo,,,1808,1873
818,Robert Wilhelm Ekman,Italialaisen talon seinämuuria ja ovi,,,1808,1873
819,Robert Wilhelm Ekman,"Maisema, Grottaferrata",,,1808,1873
823,Akseli Gallen-Kallela,Tanssivia kikujusotilaita,,1909,1865,1931
827,Robert Wilhelm Ekman,Interiööri...,,1840,1808,1873
828,Robert Wilhelm Ekman,Maisema,,,1808,1873
829,Ferdinand von Wright,"Maisema, jossa on sorsia",,,1822,1906
833,Akseli Gallen-Kallela,Kalman kukka,,1895,1865,1931
834,Hugo Simberg,Exlibris J. A. Thesleff,,1899,1873,1917
835,Adolf von Becker,Pikettipeli,1891,1869,1831,1909
847,Robert Wilhelm Ekman,Mahallaan makaava poika,,,1808,1873
853,Robert Wilhelm Ekman,"Elonkorjuujuhla, luonnos",,,1808,1873
855,Akseli Gallen-Kallela,Käsikivillä jauhaja,,1886,1865,1931
860,,Talvimaisema,1953,,,
861,Robert Wilhelm Ekman,Istuva poika purjevene sylissään,,,1808,1873
863,Karl Emanuel Jansson,"Italialainen poika, kopio R.W. Ekmanin mukaan",1874,1861,1846,1874
867,Robert Wilhelm Ekman,"Luonnos työhön ""Utsikt av Navigationsskolan i Åbo""",,,1808,1873
869,Robert Wilhelm Ekman,Sotavanhus. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
870,Werner Holmberg,Maihin tukin päälle vedetty soutuvene,1890,1857,1830,1860
871,Arnaldo Battistoni,Parveke,,1950,,
873,Robert Wilhelm Ekman,"Väinämöinen laulaa Joukahaisen suohon ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1861,1808,1873
878,Werner Holmberg,Nuoria puita kasvava metsänsisusta,1890,1853,1830,1860
880,Robert Wilhelm Ekman,"Rantamaisema, höyrylaivoja ja tykkiveneitä",,,1808,1873
884,Robert Wilhelm Ekman,AIHE Italiasta: Jalkatutkielma ; toisella puolella sama aihe,,,1808,1873
885,Akseli Gallen-Kallela,Kuolema ja kukka,,1896,1865,1931
889,Akseli Gallen-Kallela,Rantakallioita,,,1865,1931
895,Robert Wilhelm Ekman,"Sisäkuva, luonnos teokseen Haavoittunut karhunmetsästäjä",,,1808,1873
898,Robert Wilhelm Ekman,Näköala altaanilta katon yli Rocca di Papaan,,,1808,1873
899,Robert Wilhelm Ekman,"Kohtaus Hirvenhiihtäjistä, luonnos",,1856,1808,1873
902,Robert Wilhelm Ekman,Döbeln Juuttaalla. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
903,Chobunsai Eishi,Geisha,1919,,,
905,Robert Wilhelm Ekman,Kädet sylissä istuva nainen. Sivuilla harjoitelmat kolmesta vaatekappaleesta.,,1840,1808,1873
912,Magnus von Wright,"Sääksmäen kirkko, originaalipiirustus teokseen Finland framställdt i teckningar",,1847,1805,1868
913,Robert Wilhelm Ekman,"Interiööri, jossa pata tulella",,,1808,1873
914,Robert Wilhelm Ekman,Tutkielma oikean käden luista,,,1808,1873
915,Robert Wilhelm Ekman,Lieden vieressä istuva villaa karstaava nainen,,,1808,1873
916,Akseli Gallen-Kallela,Juliste Saksalaiseen taidenäyttelyyn Ateneumissa 1922,1924,1922,1865,1931
918,Akseli Gallen-Kallela,Munchin ja Gallenin näyttelyn juliste,1924,1895,1865,1931
922,Nunzio Gulino,Nuorallatanssija Urbinossa,,1958,,
923,Akseli Gallen-Kallela,Kuolema ja kukka,,1896,1865,1931
924,Pirkko Nukari,Mennyt kesä,2003,1988,1943,
926,Robert Wilhelm Ekman,"Lemminkäisen pako saarelta, luonnos Kalevala-aiheiseen piirrossarjaan",,1864,1808,1873
930,Lennart Forstén,"Tornio, originaalipiirustus teokseen Finland framställdt i teckningar",,,1817,1886
932,Robert Wilhelm Ekman,"Italialainen maisema, Palazzolo",,1841,1808,1873
933,Robert Wilhelm Ekman,"Tuulet puhaltavat ahjoon, luonnos Kalevala-aiheiseen piirrossarjaan",,,1808,1873
934,Robert Wilhelm Ekman,Maisema,,,1808,1873
935,Anders Ekman,"Alaston mies, harjoitelma",1857,1854,1833,1855
938,Robert Wilhelm Ekman,Seisova poika karttu vasemmassa kädessä,,1840,1808,1873
941,Robert Wilhelm Ekman,Olkikattoinen rakennus,,,1808,1873
942,Anders Ekman,Rukoileva poika,1857,1853,1833,1855
944,Adolf von Becker,Viulunsoittaja,,,1831,1909
947,Robert Wilhelm Ekman,Tyttö kahden lapsen kanssa,,,1808,1873
948,Robert Wilhelm Ekman,Talonpoikaisnainen ja tyttö Joutsenosta,,,1808,1873
951,Robert Wilhelm Ekman,Agave ; toisella puolella luonnos istuvasta naisesta,,,1808,1873
952,Robert Wilhelm Ekman,Kansallispukuinen nainen,,,1808,1873
955,Arnaldo Battistoni,Kaksi hahmoa maisemassa,,1943,,
956,Armid Sandberg,Nainen,,,1876,1927
958,Jacob Boström,"Oulu, originaalipiirustus teokseen Finland framställdt i teckningar",,1844,1812,1881
967,Robert Wilhelm Ekman,"Tuli karkaa, luonnos Kalevala-aiheiseen piirrossarjaan ; Vene saapumassa rantaan (kaksipuolinen teos)",,1864,1808,1873
968,Werner Holmberg,Ohdake,1890,1853,1830,1860
969,Akseli Gallen-Kallela,Rantamaisema,,1916,1865,1931
977,Adolf von Becker,"Eteenpäin kumartuva tyttö, oikea käsi tuolin selkänojalla",,,1831,1909
981,Robert Wilhelm Ekman,Nuori nainen istuu penkillä pieni lapsi sylissään,,1849,1808,1873
982,Pehr Adolf Kruskopf,"Kaukola, originaalipiirustus teokseen Finland framställdt i teckningar",,1844,1805,1852
983,Akseli Gallen-Kallela,Rauman kirkko,,1905,1865,1931
986,Robert Wilhelm Ekman,Istuva talonpoikaisnainen Lappvedeltä,,,1808,1873
987,Robert Wilhelm Ekman,Kerjäläispoika laukku selässä,,,1808,1873
988,Robert Wilhelm Ekman,Miehen rintakuva,,,1808,1873
989,Robert Wilhelm Ekman,"Interiööriluonnos, jossa kauppias Julinin muotokuva",,,1808,1873
992,Johan Knutson,"Kankaisten kartano, originaalipiirustus teokseen Finland framställdt i teckningar",,1844,1816,1899
994,Werner Holmberg,Kaksi paljasta koivunrunkoa ja pensaita,1890,1859,1830,1860
998,Alphonse Legros,Die Opfer des Brandes,1919,,1837,1911
1000,Robert Wilhelm Ekman,"Lemminkäisen äiti Tuonelassa, luonnos Kalevala-aiheiseen piirrossarjaan",,1859,1808,1873
1002,Robert Wilhelm Ekman,Talonpoikaistupa,,,1808,1873
1003,Akseli Gallen-Kallela,Juliste Zornin näyttelyyn,1906,1906,1865,1931
1010,Robert Wilhelm Ekman,"Väinämöisen polvenhaava ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
1012,Robert Wilhelm Ekman,Adlercreutz. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
1015,Jan Kenneth Weckman,Minun maailmani,,2007,1946,
1017,Werner Holmberg,Maisema Näsijärveltä,1890,1857,1830,1860
1018,Akseli Gallen-Kallela,Nuoren Suomen vignetti,1906,1905,1865,1931
1019,Robert Wilhelm Ekman,Piharakennuksia ja tynnyreitä,,,1808,1873
1022,Robert Wilhelm Ekman,Italialainen rosvo,,,1808,1873
1025,Robert Wilhelm Ekman,"Jänis tuo sanan Ainon kuolemasta. Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1861,1808,1873
1030,Hilda Flodin,Vanha nainen,1919,,1877,1958
1031,Adolf von Becker,Venäläinen teenmyyjä,,1870,1831,1909
1037,Robert Wilhelm Ekman,Taistelukohtaus,,,1808,1873
1042,Félix Bracquemond,Léon Cladelin muotokuva,1919,1883,1833,1914
1043,Werner Holmberg,Metsäinen mäki,1890,1858,1830,1860
1046,Robert Wilhelm Ekman,"Väinämöinen luo valon, luonnos Kaleva-aiheiseen piirrossarjaan",,1859,1808,1873
1049,Akseli Gallen-Kallela,Ulvilan navetta,,,1865,1931
1050,Eero Järnefelt,Kalliopetäjä,,1907,1863,1937
1055,Akseli Gallen-Kallela,"Bil-Bol, autoliikkeen juliste",1907,1907,1865,1931
1056,Werner Holmberg,Puu- ja maisemaharjoitelmia paperin molemmin puolin,1890,1859,1830,1860
1057,Werner Holmberg,Metsänsisusta kivineen ja kantoineen,1890,1858,1830,1860
1059,Ferdinand von Wright,"Karikatyyri; nainen, jolla linnun pää",,1880,1822,1906
1060,Robert Wilhelm Ekman,"Sunnuntai-ilta isoäidin luona (Isoäidin syntymäpäivä), luonnos",,1861,1808,1873
1061,Robert Wilhelm Ekman,"Italialaisen pikkukaupungin katu, jonka reunoilla on matalia hökkeleitä ja keskellä kadun yli kulkeva silta.",,,1808,1873
1063,Anders Ekman,Tytön pää,1857,1854,1833,1855
1064,Akseli Gallen-Kallela,Luminen mänty,,1905,1865,1931
1066,Robert Wilhelm Ekman,Pukuharjoitelma Helsingin Vanhan Kirkon alttaritaulua varten,,,1808,1873
1072,Robert Wilhelm Ekman,Talonpoikaisnainen Ruokolahdelta istumassa kädet esiliinan alla,,,1808,1873
1076,Elin Maria Palmros,"Rantakuva, vene kapulasillalla",1919,,1866,
1077,Robert Wilhelm Ekman,AIHE Italiasta: Kaksi munkkia,,,1808,1873
1079,Arnaldo Battistoni,Kylä,,1968,,
1082,Helene Schjerfbeck,Kaksi naisprofiilia (etualalla Marianne Preindelsberger),,1881,1862,1946
1087,Robert Wilhelm Ekman,Kirjavamyssyinen pojanpää,,,1808,1873
1101,Wilhelm von Wright,"Ferdinand von Wright, taiteilijan veli",,1844,1810,1887
1102,Robert Wilhelm Ekman,Maisema. Etualalla järvi ja taustalla kukkuloita. Oikealla rannassa kaksi pienehköä majaa.,,,1808,1873
1104,Akseli Gallen-Kallela,Talvihämärä,,1897,1865,1931
1105,Robert Wilhelm Ekman,leikkiviä talonpoikaislapsia,,,1808,1873
1110,Arnaldo Battistoni,Kaksi figuuria interiöörissä (Kaksi piirtäjää),,1949,,
1121,Werner Holmberg,Kesämaisema,1890,1858,1830,1860
1125,Tuulikki Pietilä,Arktinen näky,,1966,1917,2009
1126,Robert Wilhelm Ekman,Maisema Sabinilaisvuorelta,,1830,1808,1873
1127,Robert Wilhelm Ekman,"Taistelu Sammosta, luonnos Kalevala-aiheiseen piirrossarjaan ; Lemminkäinen tulee mukaan samporetkelle (kaksipuolinen teos)",,1864,1808,1873
1138,Alexander Lauréus,Lukeva vanha nainen,1889,,1783,1823
1143,Tuulikki Pietilä,Marionetit - Colombine ja Pierrot,,1982,1917,2009
1145,Akseli Gallen-Kallela,Talvinen Kalela,,1897,1865,1931
1147,Akseli Gallen-Kallela,Kullervo petokarjoineen,,1917,1865,1931
1149,Robert Wilhelm Ekman,Kulneff. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
1154,Werner Holmberg,"Metsäinen vuori, niittyjä ja maalaistalo",1890,1858,1830,1860
1157,Robert Wilhelm Ekman,"Väinämöinen ja Aino ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1861,1808,1873
1160,Wilhelm von Wright,"Magnus (Henrik) von Wright, taiteilijan isä",,1844,1810,1887
1162,Robert Wilhelm Ekman,Kansallispukuinen nainen,,,1808,1873
1163,Åke Hellman,Jukka,,1943,1915,2017
1167,Robert Wilhelm Ekman,Tanssi tuvassa,,,1808,1873
1186,Robert Wilhelm Ekman,"""Rocca di Papa"", näköala yli vuoren, jossa on rakennuksia",,,1808,1873
1188,Robert Wilhelm Ekman,Lotta Svärd. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
1189,Robert Wilhelm Ekman,Pilven veikko?. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
1192,Robert Wilhelm Ekman,Italialaisen kaupungin katu,,,1808,1873
1193,Robert Wilhelm Ekman,Kahdesta koukusta riippuva nahkainen kehto,,,1808,1873
1196,Adolf von Becker,Lääkepullo vasemmassa ja lusikka oikeassa kädessä melkein selin seisova vanhahko nainen,,,1831,1909
1198,Oscar Parviainen,Saluto,1919,1907,1880,1938
1205,Werner Holmberg,Leppälahden talo Kurussa,1890,1857,1830,1860
1207,Robert Wilhelm Ekman,"Ilmatar aalloilla, luonnos Kalevala-aiheiseen piirrossarjaan",,1859,1808,1873
1212,Tuulikki Pietilä,Jokapäiväinen leipämme,,1972,1917,2009
1218,Robert Wilhelm Ekman,"Kullervo katkoo kapalonsa, luonnos Kalevala-aiheiseen piirrossarjaan",,1864,1808,1873
1224,Robert Wilhelm Ekman,AIHE Italiasta: Käsivarteensa nojaava puoliksi makaava nainen,,,1808,1873
1225,Arnaldo Battistoni,Asetelma,,1944,,
1228,Robert Wilhelm Ekman,"Italialainen kappeli, luonnos",,,1808,1873
1230,Nunzio Gulino,Apuglia,,1980,,
1231,Robert Wilhelm Ekman,Ruiskumestari paloruisku käsissään,,,1808,1873
1234,Robert Wilhelm Ekman,"Kaksi soiton ja laulun jumalatarta, luonnos Helsingin Uudessa teatterissa olleita maalauksia varten, jotka tuhoutuivat teatterin palossa 1863",,1860,1808,1873
1245,Werner Holmberg,"Kallioinen pihamaa, jonka keskellä kasvaa mänty",1890,1859,1830,1860
1248,Robert Wilhelm Ekman,"Kristus ristillä, alttaritaululuonnos",,1849,1808,1873
1249,Werner Holmberg,"Rantamaisema, pieni rakennus rannalla",1890,1857,1830,1860
1250,Johan Knutson,"Myrskylän kirkko, kuvitusta teokseen Finland framställdt i teckningar, vihko IX",,1847,1816,1899
1255,Robert Wilhelm Ekman,"Osteria con cucina, Italialainen majatalo",1888,1846,1808,1873
1260,Robert Wilhelm Ekman,Taistelukohtaus,,,1808,1873
1263,Eino Ruutsalo,,,1976,1921,2001
1264,,Näyttelijätär aurinkovarjoineen,1919,,,
1265,Arnaldo Battistoni,Kylä,,1974,,
1275,Hugo Simberg,Työreessä,,1899,1873,1917
1279,Lennart Forstén,"Aittokoski, kuvitusta teokseen Finland framställdt i teckningar, vihko VI",,1847,1817,1886
1280,Robert Wilhelm Ekman,Kansallispukuinen nainen,,1840,1808,1873
1281,Werner Holmberg,Norjalainen myllymaisema,1890,1858,1830,1860
1284,Robert Wilhelm Ekman,"Kosijoiden tulo, luonnos Kalevala-aiheiseen piirrossarjaan",,1860,1808,1873
1285,Alphonse Legros,Satyyrin naamio,1919,,1837,1911
1288,Robert Wilhelm Ekman,Seisova taalalaisnainen,,1840,1808,1873
1289,Robert Wilhelm Ekman,"Louhi pelastaa Väinämöisen, luonnos Kalevala-aiheiseen piirrossarjaan ; Väinämöisen ammunta (kaksipuolinen teos)",,1859,1808,1873
1290,Hugo Simberg,Pianon ääressä,1919,1907,1873,1917
1292,Werner Holmberg,Metsää ja seisovaa vettä,1890,1860,1830,1860
1303,Katsushika Hokusai,Rajuilma vuoristossa,1919,,,
1305,Robert Wilhelm Ekman,"Vänrikki Stool ja ylioppilas, luonnos",,1852,1808,1873
1306,Robert Wilhelm Ekman,Kangaspuut,,,1808,1873
1314,Åke Hellman,Korpraali Björses,,1942,1915,2017
1318,Werner Holmberg,Puuryhmä,1890,1853,1830,1860
1320,Arnaldo Battistoni,Kaksi tuolia interiöörissä,,1949,,
1321,Robert Wilhelm Ekman,"Istuva mies oikea käsi rinnan päällä, kasvot poispäin kääntyneet",,,1808,1873
1323,Robert Wilhelm Ekman,"Italialainen maalaistalo, vasemmalla tasanko ja sen taustalla vuori",,,1808,1873
1324,Robert Wilhelm Ekman,Univormuharjoitelma,,1847,1808,1873
1328,Robert Wilhelm Ekman,"Ilmarinen ja Pohjan neito, luonnos Kalevala-aiheiseen piirrossarjaan",,1859,1808,1873
1333,Robert Wilhelm Ekman,"Aino rannalla ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1861,1808,1873
1337,Werner Holmberg,"Mänty, jonka latva on murtunut",1890,1857,1830,1860
1340,Ferdinand von Wright,Kaksi harjoitelmaa linnunjaloista,,,1822,1906
