,Artist,Title,Year_acquisition,Date_creation_year,Artist_birth_year,Artist_death_year
12609,Pentti Kaskipuro,Kurkku ja tomaatti,2003,1972,1930,2010
12610,Kain Tapper,Kasvot,,,1930,2004
12611,Inari Krohn,Kaukainen metsä,,2002,1945,
12612,Inari Krohn,Elävä metsä I,,1980,1945,
12613,Reino Hietanen,Muistellessa,,2003,1932,
12614,Berndt Abraham Godenhjelm,Istuva puolialaston lapsi ; Kuningas Fjalar kunniapaikallaan ? (kaksipuolinen teos),1913,,1799,1881
12615,Tuulikki Pietilä,Labyrintti (sarjasta Atlantis),,1969,1917,2009
12617,Tuulikki Pietilä,Yksinäisten saari - Lumimyrsky,,1980,1917,2009
12618,Berndt Abraham Godenhjelm,"Kaksi naismuotokuvaluonnosta, puolifiguuri, maisematausta",1913,,1799,1881
12619,Tuulikki Pietilä,Klovharu sumussa (Saaristo 55),,1978,1917,2009
12620,Tuulikki Pietilä,Sataman kallioita (Saaristo 72),,1978,1917,2009
12621,Tuulikki Pietilä,Manhattan,,1973,1917,2009
12622,Topi Vikstedt,"""Nummisuutarien"" kuvitusta, kuva siv. 65, Esko hääpöydässä",,1923,1891,1930
12623,Tuulikki Pietilä,Murallas de la Cava,,1971,1917,2009
12624,Berndt Abraham Godenhjelm,Perspektiivipiirustuksia molemmin puolin paperia,1913,,1799,1881
12625,Signe Hammarsten-Jansson,Pilakuva Bertel-Nordströmistä,,,1882,1970
12626,Tuulikki Pietilä,Kuulas aamu (Saaristo 27),,1977,1917,2009
12627,Berndt Abraham Godenhjelm,Leijonanpää edestäpäin,1913,,1799,1881
12628,Robert Wilhelm Ekman,"Kristuksen ylösnousemus, alttaritaululuonnos",,,1808,1873
12629,Leopold Ennosaar,Kaupunki,,1970,,
12630,Carl Eneas Sjöstrand,Brita Tiilikainen,,1857,1828,1906
12631,Carl Eneas Sjöstrand,"Mytologinen miesfiguuri, luonnos veistosta varten",,1860,1828,1906
12632,Pentti Kaskipuro,Päästäinen,,,1930,2010
12633,Anders Ekman,"Vanha, typistetty puu",1913,1850,1833,1855
12634,Tuulikki Pietilä,"Hotel Chelsean ikkuna, New York",,1973,1917,2009
12635,Berndt Abraham Godenhjelm,"Allegorinen sommitelma kolmesta naisfiguurista, keskimmäisellä malja kädessään",1913,,1799,1881
12636,Berndt Abraham Godenhjelm,Viisi eläintutkielmaa,1913,,1799,1881
12637,Heikki Nieminen,Pöllö ja nainen,,1975,1926,
12638,Berndt Abraham Godenhjelm,Yhdeksän apostolin kokofiguurit,1913,,1799,1881
12639,,Comité d'Assistance en Alsace-Lorraine (juliste),,1916,,
12640,Pentti Kaskipuro,Kuusi sientä,,1992,1930,2010
12641,Reino Hietanen,Seinä,,1993,1932,
12643,Aimo Kanerva,Talvista kuusikkoa,,1969,1909,1991
12644,Reino Hietanen,Kulma,,1995,1932,
12645,Tapani Raittila,"Croquis, seisova mies",,1990,1921,2018
12646,Pentti Kaskipuro,"nimetön, metsä",,1965,1930,2010
12647,Hannele Kylänpää,Dejk,,2009,1948,
12648,Reino Hietanen,Kaksi luonnosta,,1985,1932,
12649,Tapani Raittila,"Croquis, istuva mies",,1991,1921,2018
12650,Inari Krohn,Verso,,2005,1945,
12651,Tuulikki Pietilä,Arabeski,,1970,1917,2009
12652,Tuulikki Pietilä,Valoa ja varjoa,,1970,1917,2009
12653,Topi Vikstedt,"""Nummisuutarien"" kuvitusta, kuva siv.55, toisen näytöksen alkuvignetti",,1923,1891,1930
12654,Wilhelm von Wright,Punasotka,,1844,1810,1887
12655,Pentti Kaskipuro,Neljä perunaa,,2005,1930,2010
12656,Tuulikki Pietilä,Arabesque,,1970,1917,2009
12657,Berndt Abraham Godenhjelm,Harjoitelma teokseen Väinämöisen soitto,1913,,1799,1881
12658,Ilmari Vuori,Omakuva,,1937,1898,1975
12659,Tuulikki Pietilä,Sirkus - Putoaminen,,1981,1917,2009
12660,Carl Eneas Sjöstrand,Lemminkäinen,,1856,1828,1906
12661,Carl Eneas Sjöstrand,Amor,,1860,1828,1906
12662,Topi Vikstedt,"Nummisuutarien kuvitusta, kuva siv. 70, Esko ja Teemu",,1923,1891,1930
12663,Berndt Abraham Godenhjelm,"Seisova kanteletta soittava talonpoikaisnainen, taustalla järvimaisema",1913,,1799,1881
12664,Berndt Abraham Godenhjelm,"Kristus nousemassa ylös haudasta, kokofiguuri, harjoitelma alttaritaulua varten",1913,,1799,1881
12665,Carl Eneas Sjöstrand,Väinämöisen hevonen ; Samaa aihetta (kaksipuolinen teos),,1856,1828,1906
12666,Tuulikki Pietilä,Lepäävä kissa I (Psipsina 8),,1977,1917,2009
12667,Tapani Raittila,"Croquis, miehen kasvot",,1997,1921,2018
12669,Outi Heiskanen,luonnos,,,1937,
12673,Pentti Kaskipuro,Joulukaktus,,1985,1930,2010
12674,Tapani Raittila,"Croquis, seisova mies",,1993,1921,2018
12675,Tapani Raittila,nimetön,,1954,1921,2018
12676,Tapani Raittila,Malli,,1945,1921,2018
12677,Akseli Gallen-Kallela,Istuvan miehen vartalokuvaharjoitelma,,,1865,1931
12678,Kain Tapper,luonnos,,1996,1930,2004
12679,Victor Westerholm,Rantamaisema,,1908,1860,1919
12680,Tuulikki Pietilä,Ulkosaaristo - Gloet VII,,1980,1917,2009
12681,Tuulikki Pietilä,Vesipatsas,,1970,1917,2009
12682,Eero Järnefelt,Luonnoskirja,,1930,1863,1937
12683,Tuulikki Pietilä,Kaupunkikuva,,1971,1917,2009
12684,Tuulikki Pietilä,Haru (Saaristo 59),,1978,1917,2009
12685,Tuulikki Pietilä,Totemi (sarjasta Kivijumalat),,1969,1917,2009
12686,Gösta Diehl,Satamakuva,,1951,1899,1964
12687,Pentti Kaskipuro,Kuiva lanttu,,2002,1930,2010
12688,Kauko Lehtinen,Kasvot,,1969,1925,2012
12689,Signe Hammarsten-Jansson,T.K. Sallisen pilakuva,,,1882,1970
12690,Reino Hietanen,Alaston,,1955,1932,
12691,Berndt Abraham Godenhjelm,Neljän figuurin tappelukohtaus ; Istuva mies sauva kädessään (kaksipuolinen teos),1913,,1799,1881
12692,Vive Tolli,Joensuu,,1968,,
12693,Anders Ekman,Rakennuksen nurkka,1913,1853,1833,1855
12694,Juho Rissanen,Nainen kaksi kannua kädessään,,,1873,1950
12695,Berndt Abraham Godenhjelm,"Kristuksen ylösnousemus, mahdollisesti Vihdin kirkon alttaritaulun luonnos ; Kristus uppståndelse, troligtvis skiss för altartavlan i Vihtis kyrka",1913,1845,1799,1881
12696,Vive Tolli,Haavaga mägi,,1968,,
12697,Berndt Abraham Godenhjelm,Poika ja nukketeatteri usean figuurin ympäröimänä,1913,,1799,1881
12698,Tuulikki Pietilä,Sataman kalliot idästä (Saaristo 50),,1978,1917,2009
12699,Tuulikki Pietilä,Ulkosaaristo - Kallioita,,1980,1917,2009
12700,Outi Heiskanen,luonnos,,1997,1937,
12701,Ismo Hölttö,"Hakaniemi, Helsinki",2017,1967,1940,
12702,Inari Krohn,Talo metsässä,,1997,1945,
12703,Pentti Kaskipuro,"luonnos, Outi Heiskanen",,1994,1930,2010
12704,Kain Tapper,Kasvot,,1997,1930,2004
12706,Albert Engström,"Svensk vecka i Trosa, pilakuva",,,1869,1940
12707,Kain Tapper,Kasvot,,,1930,2004
12708,Anitra Lucander,nimetön,,1966,1918,2000
12709,Outi Heiskanen,nimetön,,2003,1937,
12710,Tapani Raittila,"Croquis, istuva mies",,1994,1921,2018
12711,Juho Salminen,Katukivien hakkaaja,,1936,1892,1945
12712,Viera Bombová,Nokturno,,1966,1932,
12713,Pentti Kaskipuro,"luonnos, istuva nainen",,,1930,2010
12714,Pentti Kaskipuro,Haapoja,,1981,1930,2010
12715,Inari Krohn,Lunta,,1978,1945,
12716,Pentti Kaskipuro,Perunalautanen,,1992,1930,2010
12717,Pentti Kaskipuro,Projekti,,1974,1930,2010
12718,Tuulikki Pietilä,Ulkosaaristo - Kalliot,,1980,1917,2009
12720,Tuulikki Pietilä,"Pont de Mirabeau, Pariisi",,1979,1917,2009
12721,Tuulikki Pietilä,Ulkosaaristo - Peruskalliot,,1980,1917,2009
12722,Anders Ekman,Ecce Homo. Kristus orjantappurakruunu päässä puettuna punaiseen pukuun ja siniseen viittaan.,1913,1855,1833,1855
12723,Tuulikki Pietilä,Lepäävä kissa III (Psipsina 13),,1977,1917,2009
12724,Tapani Raittila,Riitta,,1978,1921,2018
12725,Tuulikki Pietilä,Ulkosaaristo - Kalliot,,1980,1917,2009
12726,Tuulikki Pietilä,Idolit,,1975,1917,2009
12727,Tuulikki Pietilä,Death Valley I - Auringonlasku,,1972,1917,2009
12728,Oscar Kleineh,Rannikkomaisema,1944,,1846,1919
12729,Berndt Abraham Godenhjelm,"Liitelevä enkeli, kokofiguuri, harjoitelma alttaritauluun ""Kristuksen ylösnousemus""",1913,,1799,1881
12730,Anders Ekman,Hektor ja Andromakhe hyvästelevät painautuen toisiaan vasten. Hektor pitää poikaansa käsivarrellaan ja Andromakhe kätkee kasvonsa käsiinsä.,1913,1853,1833,1855
12731,Tuulikki Pietilä,Ikkuna New Yorkissa,,1973,1917,2009
12732,Juho Rissanen,"Nainen, pää oikealle kääntyneenä",,,1873,1950
